Dates,Cryptics,Wins
Current date: 12/09/2024,Ruler presiding over nothern region,1
Current date: 12/10/2024,Enchanting woman follows opening of stock exchange,1
Current date: 12/11/2024,Meal Uncle John cooked containing zero joules,0
Current date: 12/12/2024,Fearless clue writer goes after silverback,1
Current date: 12/13/2024,"""6 minus 10"" sounds like any mathematical function",0
Current date: 12/14/2024,"Iron crumpled shirt, removing its fourth kink",0
Current date: 12/15/2024,City drum beat is on-and-off,0
Current date: 12/16/2024,Pirate chooses caged parrot,1
Current date: 12/17/2024,Doctor screen-capturing information from the heart,0
Current date: 12/18/2024,Drunk actor Johnny sent back following agreement in Mexico,1
Current date: 12/19/2024,Object to HR interviewing notorious gang leaders,0
Current date: 12/20/2024,"Cool, cooler & ultimately coolest babe",0
Current date: 12/21/2024,Vocalist raps on remixed disc,0
Current date: 12/22/2024,Looks at spouse's rear? Of course!,0
Current date: 12/23/2024,Video's intro and outro cut by friend perfectly,1
Current date: 12/24/2024,Listening to heavy rock is more adventurous,0
Current date: 12/25/2024,Sharing these unique clues keeps beginners baffled,0
Current date: 12/27/2024,Occasionally skinned by fifth grader!?,0
Current date: 01/25/2025,Fail promise to groom dog,0
Current date: 01/28/2025,Cinema illegally hides message on a screen?,1
Current date: 01/29/2025,Untidy house guests evacuated in shame,0
Current date: 02/04/2025,Warn very fit onlookers to go back inside,1
Current date: 02/09/2025,British Bake Off food held together by spit?,0
Current date: 02/23/2025,Hot ex cropped out of sexy cuddling photo,0
Current date: 03/24/2025,"Centuries ago, you curtailed tour around hotel",0
